Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TGB,Trekor Metals Limited Common Shares,$8.44,-0.60,-6.637%,3089236804.00,Canada,,3788310,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$3.01,-0.05,-1.634%,90865344.00,United States,2025,432099,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$2.40,-0.08,-3.226%,627929935.00,Canada,,846020,Basic Materials,Metal Mining
TII,Titan Mining Corporation Common Shares,$2.81,-0.09,-3.103%,278134716.00,,2025,259202,,
TMDE,TMD Energy Limited Ordinary Shares,$0.76,0.0416,5.791%,17909400.00,,2025,882890,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$95.55,-1.57,-1.617%,1374286573.00,United States,1997,127325,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$3.35,-0.26,-7.202%,578697891.00,Canada,,1095616,Basic Materials,Precious Metals
TONT,Graf Global Corp. Class A ordinary shares,$10.865,0.0049,0.045%,0.00,,2024,322,,
TOON,Kartoon Studios Inc. Common Stock,$0.6308,-0.0005,-0.079%,39238349.00,United States,,138717,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$0.1684,-0.0076,-4.318%,4159480.00,,2025,2060889,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$0.7575,0.0045,0.598%,4197815.00,Greece,,80519,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.249,-0.001,-0.40%,11427274.00,United States,,488987,Health Care,Biotechnology: Pharmaceutical Preparations
TP,Ticketplus Ltd. Ordinary Shares,$8.81,-1.44,-14.049%,141606117.00,,2026,66283,Consumer Discretionary,Services-Misc. Amusement & Recreation
TPET,Trio Petroleum Corp. Common Stock,$1.91,0.07,3.804%,9394583.00,,2023,686652,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$9.86,-0.14,-1.40%,99710226.00,United States,1998,86084,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$1.09,-0.05,-4.386%,356946670.00,Canada,,3643833,Basic Materials,Precious Metals
UAC,United Acquisition Corp. I Class A Ordinary Shares,$9.95,0.00,0.00%,0.00,,2026,35,Finance,Blank Checks
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.04,-0.08,-7.143%,65421934.00,United States,,1593761,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$11.59,-0.65,-5.31%,5735570722.00,Canada,,9341570,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$22.65,-1.02,-4.309%,1131514838.00,United States,2024,2205985,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.34,-0.08,-5.634%,533137385.00,Canada,,5415319,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$5.05,-0.32,-5.959%,1707695951.00,Canada,2017,4280291,Basic Materials,Metal Mining
USBC,USBC Inc. Common Stock,$0.479,0.056,13.239%,185921181.00,United States,,1243941,Finance,Finance: Consumer Services
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$37.54,-0.19,-0.504%,0.00,United States,2004,311146,Finance,Investment Managers
UUU,Universal Safety Products Inc. Common Stock,$5.37,0.31,6.126%,16262846.00,United States,2003,61061,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$14.22,-0.53,-3.593%,3553108740.00,Canada,,5996199,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$1.86,-0.06,-3.125%,109496971.00,United States,2024,446770,Consumer Discretionary,Services-Misc. Amusement & Recreation
VGZ,Vista Gold Corp Common Stock,$2.10,-0.08,-3.67%,306539827.00,United States,1986,782570,Basic Materials,Precious Metals
VIDA,VIDA Global Inc. Class A Common Stock,$2.57,-0.17,-6.204%,37478135.00,,2026,614378,Technology,Computer Software: Prepackaged Software
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.82,-0.15,-1.672%,391661096.00,United States,1993,81013,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.3942,-0.0397,-9.15%,7382557.00,Singapore,2015,2177989,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VNTG,Vantage Corp Class A Ordinary Shares,$0.61,0.0044,0.727%,18703143.00,Singapore,2025,10990,Industrials,Integrated Freight & Logistics
